QuestionID	QuestionNumber	QuestionText	Answer	Topic	Source	Author Full Name	TourName	TourLink
0	1	"Скажите по-японски ""короткая песня""."	Танка	В ПЕРЕВОДЕ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
1	2	"Если вы вспомните историю Германии, то, возможно, ответите, как по-немецки звучит слово ""присоединение""."	Аншлюс	В ПЕРЕВОДЕ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
2	3	"ЭТОТ тип письма в переводе с греческого означает ""поворот быка""."	Бустрофедон	В ПЕРЕВОДЕ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
3	4	"В школе вам ставили оценки за поведение. А как будет по-французски ""поведение""?"	Кондуит	В ПЕРЕВОДЕ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
4	5	"Относительно своего отца ОН действительно ""сражался далеко"". Может, потому и имя у него было ТАКОЕ."	Телемах	В ПЕРЕВОДЕ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
5	1	ЕГО ночной кошмар выглядел так: на Красной площади сидят чехи и едят мацу китайскими палочками.	Брежнев	СНЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
6	2	Гроб среди квартиры, на мои похорона съехались вампиры...	Высоцкий	СНЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
7	3	В полдневный жар в долине Дагестана с свинцом в груди лежал недвижим я.	Лермонтов	СНЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
8	4	Змея, кусающая себя за хвост.	Кекуле	СНЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
9	5	Из конюшни ушла лошадь.	Безенчук	СНЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
10	1	В Петербурге ИХ 312.	Мосты	...ОСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
11	2	"ЕГО книгу иногда называют ""Библией Бельгии""."	Шарль де Костер	...ОСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
12	3	И Ван Гог, и Гоген, и Тулуз-Лотрек принадлежали к ЭТОМУ течению.	Постимпрессионизм	...ОСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
13	4	"Козьма Прутков назвал ЕЕ ""оружием слабого и умом слепого""."	Хитрость	...ОСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
14	5	"Во времена ""Бироновщины"", по мнению историков, фактическим правителем страны был именно ОН."	А.И. Остерман	...ОСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
15	1	ТАМ покоятся и Чарльз Диккенс, и Чарльз Дарвин...	Вестминстер	...ВЕСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
16	2	Если все, то это трезвон, а если один, то...	Благовест	...ВЕСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
17	3	ОНА состоит из 17 гат на зендском языке.	Авеста	...ВЕСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
18	4	ТАК в праве называется ограничение на пользование имуществом в интересах государства.	Секвестр	...ВЕСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
19	5	По числу полученных патентов ОН не сильно отстал от Эдисона, но известен в основном благодаря тормозу.	Вестингауз	...ВЕСТ..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
20	1	"""Какое страшное зрелище! Это они сами поджигают... Это скифы!"" — говорил ОН, глядя на пылающий город."	Наполеон	МОНАРХИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
21	2	В кругу семьи ЕГО часто называли просто Ники.	Николай II	МОНАРХИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
22	3	"На постоялом дворе ""Великий монарх"" ЕГО опознал некто Друэ по профилю на монете."	Людовик XVI	МОНАРХИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
23	4	Именно ОНА является на сегодняшний день королевой Нидерландов.	Беатрикс	МОНАРХИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
24	5	Большой любитель собак, ЭТОТ император велел похоронить свою собаку Алькину в гробнице, которую прежде предназначал для себя.	Фридрих Великий	МОНАРХИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
25	1	С ЭТОГО начинали свой обед древние римляне.	С яйца	НАЧАЛА..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
26	2	"ЕГО ""Начала"" уместились всего лишь в 15 томиков."	Евклид	НАЧАЛА..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
27	3	В качестве начала ЭТОГО предлагались: картинка, головной убор, группа товарищей...	Родина	НАЧАЛА..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
28	4	Именно ЭТО в песне Льва Лещенко отождествляется с началом начал.	Родительский дом	НАЧАЛА..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
29	5	Из ЭТОГО Евангелия мы узнали, что в начале было Слово.	От Иоанна	НАЧАЛА..	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
30	1	"ЭТИМИ словами заканчивается ""Борис Годунов""."	Народ безмолвствует	... И КОНЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
31	2	"А ЭТИМИ ""Паяцы"" Леонкавалло."	Finita la commedia	... И КОНЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
32	3	"ОН неоднократно обещал проткнуть в конце ""Посылки"", что в итоге и сделал."	Сирано де Бержерак	... И КОНЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
33	4	"""О, как трудно любить в этом мире приличий! О, как больно любить без конца!"" Автора не припомните?"	Вертинский	... И КОНЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
34	5	"""Все уходят, унося трупы. Никаких аплодисментов"". Так заканчивается ЭТА пьеса."	"""Вальпургиева ночь, или шаги Командора"""	... И КОНЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
35	1	"ОНА пела: ""Пусть говорят, ничто не вечно под Луной..."""	Лайма Вайкуле	ВЕЧНАЯ ТЕМА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
36	2	"""И вечный бой, покой нам только снится..."" — писал ЭТОТ поэт."	Блок	ВЕЧНАЯ ТЕМА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
37	3	"""Вечный покой даруй им, Господи..."" Такими словами начинается ЭТА католическая молитва."	Реквием	ВЕЧНАЯ ТЕМА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
38	4	"Именно ОНИ снились Оле, из песни ЧиЖа ""Вечная молодость""."	Соло-гитарист и, иногда, учитель пения	ВЕЧНАЯ ТЕМА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
39	5	"ЕГО пьесу ""Вечность и один день"" можно прочесть девятью различными способами."	Милорад Павич	ВЕЧНАЯ ТЕМА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
40	1	Родиной Шекспира является именно ЭТОТ город.	Стратфорд-на-Эйвоне	ШЕКСПИР	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
41	2	Ричард Бербедж известен тем, что он был первым... КЕМ?	Исполнителем роли Гамлета	ШЕКСПИР	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
42	3	ЭТОГО философа некоторые считают автором шекспировских произведений.	Ф. Бэкон	ШЕКСПИР	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
43	4	ЭТОТ предмет Шекспир отписал своей жене в завещании.	Кровать	ШЕКСПИР	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
44	5	Пожалуй, самым известным из НИХ является Пейн Кольер.	Фальсификаторы Шекспира	ШЕКСПИР	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
45	1	"Скажите по-монгольски ""монгольская почта""."	Монгол Шуудан	МОЯ МОНГОЛИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
46	2	ЭТОТ внук Чингисхана основал Золотую Орду.	Батый	МОЯ МОНГОЛИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
47	3	Один тугрик содержит в себе 100...	Мунгу	МОЯ МОНГОЛИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
48	4	ТАК называется автономный район в составе Китая, близкий сердцу Чапаева, если, конечно, верить Виктору Пелевину.	Внутренняя Монголия	МОЯ МОНГОЛИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
49	5	Под ЭТИМ именем нам известен простой монгольский парень Ганзор Куяк.	Жугдэрдэмидийн Гуррагча	МОЯ МОНГОЛИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
50	1	Именно ЭТОТ цвет традиционно связывают с Ирландией.	Зеленый	МОЯ ИРЛАНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
51	2	Первых ирландских королей хоронили именно ТАК. Вовсе не в целях экономии места.	Стоя	МОЯ ИРЛАНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
52	3	ЭТОТ ирландский город дал название стихотворной форме.	Лимерик	МОЯ ИРЛАНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
53	4	"Скажите по-ирландски ""мы сами""."	Шин фейн	МОЯ ИРЛАНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
54	5	"Закончите ирландскую пословицу: ""Бойся бычьих рогов, конских копыт и улыбки..."""	"""... англичанина"""	МОЯ ИРЛАНДИЯ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
55	1	Именно ОНИ стояли неподалеку от того места, где летал гроб с покойничком.	Мертвые с косами	ГРОБЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
56	2	Противники ЭТОЙ теории утверждали, что все ее доказательства можно сложить в один гроб.	Теория эволюции	ГРОБЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
57	3	"Переведите на современный язык выражение ""гробы повапленные""."	Покрашенные гробы	ГРОБЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
58	4	Согласно В. Бутусову, именно в ЭТОТ город направлялись турки, скачущие по гробам.	Амстердам	ГРОБЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
59	5	По воспоминаниям Дона Аминадо в 1919 году в Одессе на каждом углу можно было получить портрет ЭТОЙ актрисы в гробу, взамен 20 копеек.	Вера Холодная	ГРОБЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
60	1	"Среди рабочих названий ЭТОГО романа было и такое: ""Свеча горела""."	"""Доктор Живаго"""	СВЕЧКИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
61	2	Свечной заводик в ЭТОМ городе был мечтой отца Федора.	Самара	СВЕЧКИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
62	3	ТАКОЙ результат, согласно Тургеневу, может получить женщина, умножив 2 на 2.	Стеариновая свечка	СВЕЧКИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
63	4	ОН изображен на гербе Израиля.	Семисвечник (Менора)	СВЕЧКИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
64	5	"Один из сборников ЭТОГО поэта назывался ""Скульптор свечей""."	А. Вознесенский	СВЕЧКИ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
65	1	Римский бог Пикус был превращен отвергнутой Цирцеей в ЭТУ птицу.	Дятел	ПТИЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
66	2	ТАКОЕ имя носила чайка, прославленная Ричардом Бахом.	Джонатан Ливингстон	ПТИЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
67	3	10 миллионов в русском счете назывались еще и ТАК...	Ворон	ПТИЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
68	4	Символом ЭТОГО католического святого является гусь.	Св. Мартин	ПТИЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
69	5	Именно по ЭТОЙ причине никто не видел птицу Сиу.	Потому, что это не простая птица (ТББ)	ПТИЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
70	1	ЭТА буква в азбуке Морзе обозначается одним тире.	"""Т"""	ОДНА БУКВА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
71	2	ЭТОТ зверь был проклят Св. Микой.	Вепрь Ы	ОДНА БУКВА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
72	3	В глаголице последней была именно ЭТА буква.	Ижица	ОДНА БУКВА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
73	4	Веня Ерофеев очень гордился тем, что его сын знает ЭТУ букву.	"""Ю"""	ОДНА БУКВА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
74	5	"При входе в чистилище на лбу у Данте появляются семь букв ""Р"", которые обозначали..."	Семь смертных грехов	ОДНА БУКВА	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
75	1	"""... говорят, во Франции большая часть народа признаёт веру Магомета"". Перед этим наблюдением стоит дата 86 число, ЭТОГО месяца..."	Мартобря	МЕСЯЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
76	2	В ЭТОМ месяце пророку было ниспослано первое откровение.	Рамазан	МЕСЯЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
77	3	В названии ЭТОГО израильского города можно найти другое название весеннего месяца Нисана.	Тель-Авив	МЕСЯЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
78	4	"В ЭТОМ месяце, по словам Бутусова: ""Жестокие дети умеют влюбляться, не умеют любить""."	Последнем месяце лета	МЕСЯЦЫ	None	Юрий Гришов	"""Своя игра"". Юрий Гришов, 1999-2003"	https://db.chgk.info/tour/grishov
